------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.2 port 56701
[  2] local 10.0.0.1 port 8 connected with 10.0.0.4 port 52384
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 14.0000-15.0000 sec   854 KBytes  7.00 Mbits/sec   0.258 ms 0/595 (0%)
[  3] 13.0000-14.0000 sec   610 KBytes  5.00 Mbits/sec   0.335 ms 0/425 (0%)
[  4] 13.0000-14.0000 sec   610 KBytes  5.00 Mbits/sec   0.013 ms 0/425 (0%)
[  2] 15.0000-16.0000 sec   732 KBytes  6.00 Mbits/sec   0.243 ms 0/510 (0%)
[  1] 15.0000-16.0000 sec   856 KBytes  7.01 Mbits/sec   0.220 ms 0/596 (0%)
[  3] 14.0000-15.0000 sec   610 KBytes  5.00 Mbits/sec   0.237 ms 0/425 (0%)
[  4] 14.0000-15.0000 sec   612 KBytes  5.01 Mbits/sec   0.011 ms 0/426 (0%)
[  2] 16.0000-17.0000 sec   732 KBytes  6.00 Mbits/sec   0.277 ms 0/510 (0%)
[  1] 16.0000-17.0000 sec   853 KBytes  6.99 Mbits/sec   0.204 ms 0/594 (0%)
[  3] 15.0000-16.0000 sec   610 KBytes  5.00 Mbits/sec   0.348 ms 0/425 (0%)
[  4] 15.0000-16.0000 sec   610 KBytes  5.00 Mbits/sec   0.024 ms 0/425 (0%)
[  2] 17.0000-18.0000 sec   732 KBytes  6.00 Mbits/sec   0.249 ms 0/510 (0%)
[  1] 17.0000-18.0000 sec   856 KBytes  7.01 Mbits/sec   0.247 ms 0/596 (0%)
[  3] 16.0000-17.0000 sec   610 KBytes  5.00 Mbits/sec   0.397 ms 0/425 (0%)
[  4] 16.0000-17.0000 sec   610 KBytes  5.00 Mbits/sec   0.010 ms 0/425 (0%)
[  2] 18.0000-19.0000 sec   734 KBytes  6.01 Mbits/sec   0.331 ms 0/511 (0%)
[  1] 18.0000-19.0000 sec   856 KBytes  7.01 Mbits/sec   0.266 ms 0/596 (0%)
[  3] 17.0000-18.0000 sec   610 KBytes  5.00 Mbits/sec   0.349 ms 0/425 (0%)
[  4] 17.0000-18.0000 sec   610 KBytes  5.00 Mbits/sec   0.015 ms 0/425 (0%)
[  2] 19.0000-20.0000 sec   732 KBytes  6.00 Mbits/sec   0.227 ms 0/510 (0%)
[  1] 19.0000-20.0000 sec   854 KBytes  7.00 Mbits/sec   0.256 ms 0/595 (0%)
[  3] 18.0000-19.0000 sec   612 KBytes  5.01 Mbits/sec   0.379 ms 0/426 (0%)
[  4] 18.0000-19.0000 sec   610 KBytes  5.00 Mbits/sec   0.008 ms 0/425 (0%)
[  1] 20.0000-21.0000 sec   854 KBytes  7.00 Mbits/sec   0.244 ms 0/595 (0%)
[  2] 20.0000-21.0000 sec   732 KBytes  6.00 Mbits/sec   0.219 ms 0/510 (0%)
[  3] 19.0000-20.0000 sec   610 KBytes  5.00 Mbits/sec   0.364 ms 0/425 (0%)
[  4] 19.0000-20.0000 sec   610 KBytes  5.00 Mbits/sec   0.070 ms 0/425 (0%)
[  2] 21.0000-22.0000 sec   732 KBytes  6.00 Mbits/sec   0.232 ms 0/510 (0%)
[  1] 21.0000-22.0000 sec   854 KBytes  7.00 Mbits/sec   0.326 ms 0/595 (0%)
