------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 35580
[  2] local 10.0.0.1 port 8 connected with 10.0.0.2 port 45788
[  3] local 10.0.0.1 port 8 connected with 10.0.0.5 port 34693
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 34034
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  4] 14.0000-15.0000 sec   612 KBytes  5.01 Mbits/sec   0.215 ms 0/426 (0%)
[  1] 14.0000-15.0000 sec   732 KBytes  6.00 Mbits/sec   0.196 ms 0/510 (0%)
[  3] 14.0000-15.0000 sec   610 KBytes  5.00 Mbits/sec   0.038 ms 0/425 (0%)
[  2] 14.0000-15.0000 sec   449 KBytes  3.68 Mbits/sec   0.305 ms 0/313 (0%)
[  1] 15.0000-16.0000 sec   732 KBytes  6.00 Mbits/sec   0.139 ms 0/510 (0%)
[  3] 15.0000-16.0000 sec   610 KBytes  5.00 Mbits/sec   0.006 ms 0/425 (0%)
[  4] 15.0000-16.0000 sec   610 KBytes  5.00 Mbits/sec   0.207 ms 0/425 (0%)
[  2] 15.0000-16.0000 sec  0.000 Bytes  0.000 bits/sec   0.305 ms 0/0 (-nan%)
[  1] 16.0000-17.0000 sec   732 KBytes  6.00 Mbits/sec   0.125 ms 0/510 (0%)
[  4] 16.0000-17.0000 sec   610 KBytes  5.00 Mbits/sec   0.170 ms 0/425 (0%)
[  3] 16.0000-17.0000 sec   610 KBytes  5.00 Mbits/sec   0.025 ms 0/425 (0%)
[  2] 16.0000-17.0000 sec  0.000 Bytes  0.000 bits/sec   0.305 ms 0/0 (-nan%)
[  4] 17.0000-18.0000 sec   610 KBytes  5.00 Mbits/sec   0.166 ms 0/425 (0%)
[  1] 17.0000-18.0000 sec   734 KBytes  6.01 Mbits/sec   0.188 ms 0/511 (0%)
[  3] 17.0000-18.0000 sec   612 KBytes  5.01 Mbits/sec   0.008 ms 0/426 (0%)
[  2] 17.0000-18.0000 sec  0.000 Bytes  0.000 bits/sec   0.305 ms 0/0 (-nan%)
[  4] 18.0000-19.0000 sec   609 KBytes  4.99 Mbits/sec   0.139 ms 1/425 (0.24%)
[  1] 18.0000-19.0000 sec   731 KBytes  5.99 Mbits/sec   0.096 ms 0/509 (0%)
[  2] 18.0000-19.0000 sec   136 KBytes  1.12 Mbits/sec   0.841 ms 2416/2511 (96%)
[  3] 18.0000-19.0000 sec   454 KBytes  3.72 Mbits/sec   1.469 ms 0/316 (0%)
[  4] 19.0000-20.0000 sec   610 KBytes  5.00 Mbits/sec   0.138 ms 0/425 (0%)
[  1] 19.0000-20.0000 sec   734 KBytes  6.01 Mbits/sec   0.163 ms 0/511 (0%)
[  2] 19.0000-20.0000 sec  1015 KBytes  8.31 Mbits/sec   0.429 ms 0/707 (0%)
[  3] 19.0000-20.0000 sec   725 KBytes  5.94 Mbits/sec   0.653 ms 0/505 (0%)
[  1] 20.0000-21.0000 sec   732 KBytes  6.00 Mbits/sec   0.178 ms 0/510 (0%)
[  2] 20.0000-21.0000 sec   912 KBytes  7.47 Mbits/sec   0.085 ms 0/635 (0%)
[  4] 20.0000-21.0000 sec   610 KBytes  5.00 Mbits/sec   0.153 ms 0/425 (0%)
[  3] 20.0000-21.0000 sec   652 KBytes  5.34 Mbits/sec   0.291 ms 0/454 (0%)
[  4] 21.0000-22.0000 sec   612 KBytes  5.01 Mbits/sec   0.150 ms 0/426 (0%)
[  1] 21.0000-22.0000 sec   732 KBytes  6.00 Mbits/sec   0.115 ms 0/510 (0%)
[  2] 21.0000-22.0000 sec   856 KBytes  7.01 Mbits/sec   0.060 ms 0/596 (0%)
[  3] 21.0000-22.0000 sec   610 KBytes  5.00 Mbits/sec   0.253 ms 0/425 (0%)
[  4] 22.0000-23.0000 sec   610 KBytes  5.00 Mbits/sec   0.216 ms 0/425 (0%)
[  1] 22.0000-23.0000 sec   734 KBytes  6.01 Mbits/sec   0.163 ms 0/511 (0%)
[  2] 22.0000-23.0000 sec   854 KBytes  7.00 Mbits/sec   0.102 ms 0/595 (0%)
[  3] 22.0000-23.0000 sec   610 KBytes  5.00 Mbits/sec   0.267 ms 0/425 (0%)
[  4] 23.0000-24.0000 sec   610 KBytes  5.00 Mbits/sec   0.216 ms 0/425 (0%)
[  1] 23.0000-24.0000 sec   732 KBytes  6.00 Mbits/sec   0.153 ms 0/510 (0%)
[  2] 23.0000-24.0000 sec   854 KBytes  7.00 Mbits/sec   0.159 ms 0/595 (0%)
[  3] 23.0000-24.0000 sec   610 KBytes  5.00 Mbits/sec   0.306 ms 0/425 (0%)
[  1] 24.0000-25.0000 sec   732 KBytes  6.00 Mbits/sec   0.134 ms 0/510 (0%)
[  2] 24.0000-25.0000 sec   854 KBytes  7.00 Mbits/sec   0.152 ms 0/595 (0%)
[  3] 24.0000-25.0000 sec   612 KBytes  5.01 Mbits/sec   0.302 ms 0/426 (0%)
[  4] 24.0000-25.0000 sec   610 KBytes  5.00 Mbits/sec   0.226 ms 0/425 (0%)
[  4] 25.0000-26.0000 sec   610 KBytes  5.00 Mbits/sec   0.182 ms 0/425 (0%)
[  1] 25.0000-26.0000 sec   732 KBytes  6.00 Mbits/sec   0.127 ms 0/510 (0%)
[  2] 25.0000-26.0000 sec   856 KBytes  7.01 Mbits/sec   0.066 ms 0/596 (0%)
[  3] 25.0000-26.0000 sec   610 KBytes  5.00 Mbits/sec   0.288 ms 0/425 (0%)
[  4] 26.0000-27.0000 sec   612 KBytes  5.01 Mbits/sec   0.172 ms 0/426 (0%)
[  1] 26.0000-27.0000 sec   732 KBytes  6.00 Mbits/sec   0.102 ms 0/510 (0%)
[  2] 26.0000-27.0000 sec   854 KBytes  7.00 Mbits/sec   0.132 ms 0/595 (0%)
[  3] 26.0000-27.0000 sec   610 KBytes  5.00 Mbits/sec   0.318 ms 0/425 (0%)
[  4] 27.0000-28.0000 sec   610 KBytes  5.00 Mbits/sec   0.187 ms 0/425 (0%)
[  1] 27.0000-28.0000 sec   734 KBytes  6.01 Mbits/sec   0.215 ms 0/511 (0%)
[  2] 27.0000-28.0000 sec   854 KBytes  7.00 Mbits/sec   0.071 ms 0/595 (0%)
[  3] 27.0000-28.0000 sec   610 KBytes  5.00 Mbits/sec   0.331 ms 0/425 (0%)
[  1] 28.0000-29.0000 sec   732 KBytes  6.00 Mbits/sec   0.183 ms 0/510 (0%)
[  2] 28.0000-29.0000 sec   854 KBytes  7.00 Mbits/sec   0.140 ms 0/595 (0%)
[  3] 28.0000-29.0000 sec   610 KBytes  5.00 Mbits/sec   0.365 ms 0/425 (0%)
[  4] 28.0000-29.0000 sec   610 KBytes  5.00 Mbits/sec   0.176 ms 0/425 (0%)
[  4] 29.0000-30.0000 sec   610 KBytes  5.00 Mbits/sec   0.159 ms 0/425 (0%)
[  1] 29.0000-30.0000 sec   732 KBytes  6.00 Mbits/sec   0.120 ms 0/510 (0%)
[  2] 29.0000-30.0000 sec   856 KBytes  7.01 Mbits/sec   0.077 ms 0/596 (0%)
[  3] 29.0000-30.0000 sec   612 KBytes  5.01 Mbits/sec   0.280 ms 0/426 (0%)
[  4] 30.0000-31.0000 sec   610 KBytes  5.00 Mbits/sec   0.197 ms 0/425 (0%)
[  1] 30.0000-31.0000 sec   732 KBytes  6.00 Mbits/sec   0.217 ms 0/510 (0%)
[  2] 30.0000-31.0000 sec   853 KBytes  6.99 Mbits/sec   0.054 ms 0/594 (0%)
[  3] 30.0000-31.0000 sec   610 KBytes  5.00 Mbits/sec   0.260 ms 0/425 (0%)
[  4] 31.0000-32.0000 sec   610 KBytes  5.00 Mbits/sec   0.161 ms 0/425 (0%)
[  1] 31.0000-32.0000 sec   732 KBytes  6.00 Mbits/sec   0.153 ms 0/510 (0%)
[  2] 31.0000-32.0000 sec   856 KBytes  7.01 Mbits/sec   0.094 ms 0/596 (0%)
[  3] 31.0000-32.0000 sec   610 KBytes  5.00 Mbits/sec   0.298 ms 0/425 (0%)
[  1] 32.0000-33.0000 sec   734 KBytes  6.01 Mbits/sec   0.177 ms 0/511 (0%)
[  2] 32.0000-33.0000 sec   854 KBytes  7.00 Mbits/sec   0.185 ms 0/595 (0%)
[  3] 32.0000-33.0000 sec   610 KBytes  5.00 Mbits/sec   0.311 ms 0/425 (0%)
