------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 35580
[  2] local 10.0.0.1 port 8 connected with 10.0.0.2 port 45788
[  3] local 10.0.0.1 port 8 connected with 10.0.0.5 port 34693
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 34034
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  2] 61.0000-62.0000 sec   854 KBytes  7.00 Mbits/sec   0.098 ms 0/595 (0%)
[  3] 61.0000-62.0000 sec   610 KBytes  5.00 Mbits/sec   0.303 ms 0/425 (0%)
[  1] 62.0000-63.0000 sec   732 KBytes  6.00 Mbits/sec   0.103 ms 0/510 (0%)
[  2] 62.0000-63.0000 sec   856 KBytes  7.01 Mbits/sec   0.135 ms 0/596 (0%)
[  3] 62.0000-63.0000 sec   610 KBytes  5.00 Mbits/sec   0.330 ms 0/425 (0%)
[  4] 62.0000-63.0000 sec   610 KBytes  5.00 Mbits/sec   0.148 ms 0/425 (0%)
[  1] 63.0000-64.0000 sec   732 KBytes  6.00 Mbits/sec   0.155 ms 0/510 (0%)
[  2] 63.0000-64.0000 sec   854 KBytes  7.00 Mbits/sec   0.102 ms 0/595 (0%)
[  3] 63.0000-64.0000 sec   610 KBytes  5.00 Mbits/sec   0.274 ms 0/425 (0%)
[  4] 63.0000-64.0000 sec   610 KBytes  5.00 Mbits/sec   0.147 ms 0/425 (0%)
[  4] 64.0000-65.0000 sec   610 KBytes  5.00 Mbits/sec   0.255 ms 0/425 (0%)
[  1] 64.0000-65.0000 sec   732 KBytes  6.00 Mbits/sec   0.163 ms 0/510 (0%)
[  2] 64.0000-65.0000 sec   854 KBytes  7.00 Mbits/sec   0.064 ms 0/595 (0%)
[  3] 64.0000-65.0000 sec   612 KBytes  5.01 Mbits/sec   0.295 ms 0/426 (0%)
[  4] 65.0000-66.0000 sec   610 KBytes  5.00 Mbits/sec   0.153 ms 0/425 (0%)
[  1] 65.0000-66.0000 sec   732 KBytes  6.00 Mbits/sec   0.099 ms 0/510 (0%)
[  2] 65.0000-66.0000 sec   854 KBytes  7.00 Mbits/sec   0.062 ms 0/595 (0%)
[  3] 65.0000-66.0000 sec   610 KBytes  5.00 Mbits/sec   0.269 ms 0/425 (0%)
[  4] 66.0000-67.0000 sec   610 KBytes  5.00 Mbits/sec   0.197 ms 0/425 (0%)
[  1] 66.0000-67.0000 sec   734 KBytes  6.01 Mbits/sec   0.191 ms 0/511 (0%)
[  2] 66.0000-67.0000 sec   854 KBytes  7.00 Mbits/sec   0.088 ms 0/595 (0%)
[  3] 66.0000-67.0000 sec   610 KBytes  5.00 Mbits/sec   0.352 ms 0/425 (0%)
[  1] 67.0000-68.0000 sec   732 KBytes  6.00 Mbits/sec   0.129 ms 0/510 (0%)
[  2] 67.0000-68.0000 sec   856 KBytes  7.01 Mbits/sec   0.104 ms 0/596 (0%)
[  3] 67.0000-68.0000 sec   610 KBytes  5.00 Mbits/sec   0.393 ms 0/425 (0%)
[  4] 67.0000-68.0000 sec   612 KBytes  5.01 Mbits/sec   0.140 ms 0/426 (0%)
[  4] 68.0000-69.0000 sec   610 KBytes  5.00 Mbits/sec   0.158 ms 0/425 (0%)
[  1] 68.0000-69.0000 sec   732 KBytes  6.00 Mbits/sec   0.130 ms 0/510 (0%)
[  2] 68.0000-69.0000 sec   854 KBytes  7.00 Mbits/sec   0.107 ms 0/595 (0%)
[  3] 68.0000-69.0000 sec   610 KBytes  5.00 Mbits/sec   0.404 ms 0/425 (0%)
[  4] 69.0000-70.0000 sec   610 KBytes  5.00 Mbits/sec   0.139 ms 0/425 (0%)
[  1] 69.0000-70.0000 sec   732 KBytes  6.00 Mbits/sec   0.217 ms 0/510 (0%)
[  2] 69.0000-70.0000 sec   854 KBytes  7.00 Mbits/sec   0.099 ms 0/595 (0%)
[  3] 69.0000-70.0000 sec   610 KBytes  5.00 Mbits/sec   0.351 ms 0/425 (0%)
[  4] 70.0000-71.0000 sec   610 KBytes  5.00 Mbits/sec   0.184 ms 0/425 (0%)
[  1] 70.0000-71.0000 sec   732 KBytes  6.00 Mbits/sec   0.137 ms 0/510 (0%)
[  2] 70.0000-71.0000 sec   854 KBytes  7.00 Mbits/sec   0.089 ms 0/595 (0%)
[  3] 70.0000-71.0000 sec   612 KBytes  5.01 Mbits/sec   0.295 ms 0/426 (0%)
[  1] 71.0000-72.0000 sec   734 KBytes  6.01 Mbits/sec   0.177 ms 0/511 (0%)
[  2] 71.0000-72.0000 sec   856 KBytes  7.01 Mbits/sec   0.134 ms 0/596 (0%)
[  3] 71.0000-72.0000 sec   610 KBytes  5.00 Mbits/sec   0.408 ms 0/425 (0%)
[  4] 71.0000-72.0000 sec   610 KBytes  5.00 Mbits/sec   0.170 ms 0/425 (0%)
[  4] 72.0000-73.0000 sec   610 KBytes  5.00 Mbits/sec   0.225 ms 0/425 (0%)
[  1] 72.0000-73.0000 sec   732 KBytes  6.00 Mbits/sec   0.168 ms 0/510 (0%)
[  2] 72.0000-73.0000 sec   854 KBytes  7.00 Mbits/sec   0.078 ms 0/595 (0%)
[  3] 72.0000-73.0000 sec   610 KBytes  5.00 Mbits/sec   0.322 ms 0/425 (0%)
[  4] 73.0000-74.0000 sec   612 KBytes  5.01 Mbits/sec   0.142 ms 0/426 (0%)
[  1] 73.0000-74.0000 sec   732 KBytes  6.00 Mbits/sec   0.108 ms 0/510 (0%)
[  2] 73.0000-74.0000 sec   854 KBytes  7.00 Mbits/sec   0.072 ms 0/595 (0%)
[  3] 73.0000-74.0000 sec   610 KBytes  5.00 Mbits/sec   0.292 ms 0/425 (0%)
[  4] 74.0000-75.0000 sec   610 KBytes  5.00 Mbits/sec   0.196 ms 0/425 (0%)
[  1] 74.0000-75.0000 sec   732 KBytes  6.00 Mbits/sec   0.187 ms 0/510 (0%)
[  2] 74.0000-75.0000 sec   854 KBytes  7.00 Mbits/sec   0.104 ms 0/595 (0%)
[  3] 74.0000-75.0000 sec   610 KBytes  5.00 Mbits/sec   0.272 ms 0/425 (0%)
[  1] 75.0000-76.0000 sec   732 KBytes  6.00 Mbits/sec   0.136 ms 0/510 (0%)
[  2] 75.0000-76.0000 sec   856 KBytes  7.01 Mbits/sec   0.197 ms 0/596 (0%)
[  3] 75.0000-76.0000 sec   610 KBytes  5.00 Mbits/sec   0.295 ms 0/425 (0%)
[  4] 75.0000-76.0000 sec   610 KBytes  5.00 Mbits/sec   0.133 ms 0/425 (0%)
[  1] 76.0000-77.0000 sec   734 KBytes  6.01 Mbits/sec   0.129 ms 0/511 (0%)
[  2] 76.0000-77.0000 sec   854 KBytes  7.00 Mbits/sec   0.100 ms 0/595 (0%)
[  4] 76.0000-77.0000 sec   610 KBytes  5.00 Mbits/sec   0.158 ms 0/425 (0%)
[  3] 76.0000-77.0000 sec   612 KBytes  5.01 Mbits/sec   0.368 ms 0/426 (0%)
[  4] 77.0000-78.0000 sec   610 KBytes  5.00 Mbits/sec   0.131 ms 0/425 (0%)
[  1] 77.0000-78.0000 sec   731 KBytes  5.99 Mbits/sec   0.163 ms 0/509 (0%)
[  2] 77.0000-78.0000 sec   854 KBytes  7.00 Mbits/sec   0.087 ms 0/595 (0%)
[  3] 77.0000-78.0000 sec   610 KBytes  5.00 Mbits/sec   0.284 ms 0/425 (0%)
[  4] 78.0000-79.0000 sec   610 KBytes  5.00 Mbits/sec   0.140 ms 0/425 (0%)
[  1] 78.0000-79.0000 sec   734 KBytes  6.01 Mbits/sec   0.096 ms 0/511 (0%)
[  2] 78.0000-79.0000 sec   854 KBytes  7.00 Mbits/sec   0.124 ms 0/595 (0%)
[  3] 78.0000-79.0000 sec   610 KBytes  5.00 Mbits/sec   0.320 ms 0/425 (0%)
[  4] 79.0000-80.0000 sec   610 KBytes  5.00 Mbits/sec   0.160 ms 0/425 (0%)
[  1] 79.0000-80.0000 sec   732 KBytes  6.00 Mbits/sec   0.249 ms 0/510 (0%)
[  2] 79.0000-80.0000 sec   856 KBytes  7.01 Mbits/sec   0.069 ms 0/596 (0%)
[  3] 79.0000-80.0000 sec   610 KBytes  5.00 Mbits/sec   0.303 ms 0/425 (0%)
[  1] 80.0000-81.0000 sec   732 KBytes  6.00 Mbits/sec   0.127 ms 0/510 (0%)
[  2] 80.0000-81.0000 sec   854 KBytes  7.00 Mbits/sec   0.107 ms 0/595 (0%)
[  3] 80.0000-81.0000 sec   610 KBytes  5.00 Mbits/sec   0.356 ms 0/425 (0%)
[  4] 80.0000-81.0000 sec   612 KBytes  5.01 Mbits/sec   0.169 ms 0/426 (0%)
[  4] 81.0000-82.0000 sec   610 KBytes  5.00 Mbits/sec   0.153 ms 0/425 (0%)
[  1] 81.0000-82.0000 sec   734 KBytes  6.01 Mbits/sec   0.105 ms 0/511 (0%)
[  2] 81.0000-82.0000 sec   854 KBytes  7.00 Mbits/sec   0.079 ms 0/595 (0%)
[  3] 81.0000-82.0000 sec   610 KBytes  5.00 Mbits/sec   0.322 ms 0/425 (0%)
[  4] 82.0000-83.0000 sec   610 KBytes  5.00 Mbits/sec   0.270 ms 0/425 (0%)
[  1] 82.0000-83.0000 sec   732 KBytes  6.00 Mbits/sec   0.190 ms 0/510 (0%)
[  2] 82.0000-83.0000 sec   854 KBytes  7.00 Mbits/sec   0.097 ms 0/595 (0%)
[  3] 82.0000-83.0000 sec   610 KBytes  5.00 Mbits/sec   0.305 ms 0/425 (0%)
[  4] 83.0000-84.0000 sec   610 KBytes  5.00 Mbits/sec   0.143 ms 0/425 (0%)
[  1] 83.0000-84.0000 sec   732 KBytes  6.00 Mbits/sec   0.124 ms 0/510 (0%)
[  2] 83.0000-84.0000 sec   856 KBytes  7.01 Mbits/sec   0.087 ms 0/596 (0%)
[  3] 83.0000-84.0000 sec   612 KBytes  5.01 Mbits/sec   0.309 ms 0/426 (0%)
[  4] 84.0000-85.0000 sec   610 KBytes  5.00 Mbits/sec   0.226 ms 0/425 (0%)
[  1] 84.0000-85.0000 sec   732 KBytes  6.00 Mbits/sec   0.150 ms 0/510 (0%)
[  2] 84.0000-85.0000 sec   854 KBytes  7.00 Mbits/sec   0.160 ms 0/595 (0%)
[  3] 84.0000-85.0000 sec   610 KBytes  5.00 Mbits/sec   0.304 ms 0/425 (0%)
[  1] 85.0000-86.0000 sec   732 KBytes  6.00 Mbits/sec   0.170 ms 0/510 (0%)
[  4] 85.0000-86.0000 sec   612 KBytes  5.01 Mbits/sec   0.172 ms 0/426 (0%)
[  2] 85.0000-86.0000 sec   854 KBytes  7.00 Mbits/sec   0.103 ms 0/595 (0%)
[  3] 85.0000-86.0000 sec   610 KBytes  5.00 Mbits/sec   0.307 ms 0/425 (0%)
[  4] 86.0000-87.0000 sec   610 KBytes  5.00 Mbits/sec   0.170 ms 0/425 (0%)
[  1] 86.0000-87.0000 sec   734 KBytes  6.01 Mbits/sec   0.109 ms 0/511 (0%)
[  2] 86.0000-87.0000 sec   854 KBytes  7.00 Mbits/sec   0.073 ms 0/595 (0%)
[  3] 86.0000-87.0000 sec   610 KBytes  5.00 Mbits/sec   0.335 ms 0/425 (0%)
[  4] 87.0000-88.0000 sec   610 KBytes  5.00 Mbits/sec   0.188 ms 0/425 (0%)
[  1] 87.0000-88.0000 sec   732 KBytes  6.00 Mbits/sec   0.190 ms 0/510 (0%)
[  2] 87.0000-88.0000 sec   854 KBytes  7.00 Mbits/sec   0.101 ms 0/595 (0%)
[  3] 87.0000-88.0000 sec   610 KBytes  5.00 Mbits/sec   0.309 ms 0/425 (0%)
[  4] 88.0000-89.0000 sec   610 KBytes  5.00 Mbits/sec   0.190 ms 0/425 (0%)
[  1] 88.0000-89.0000 sec   732 KBytes  6.00 Mbits/sec   0.151 ms 0/510 (0%)
[  2] 88.0000-89.0000 sec   856 KBytes  7.01 Mbits/sec   0.214 ms 0/596 (0%)
[  3] 88.0000-89.0000 sec   612 KBytes  5.01 Mbits/sec   0.482 ms 0/426 (0%)
[  1] 89.0000-90.0000 sec   732 KBytes  6.00 Mbits/sec   0.150 ms 0/510 (0%)
[  2] 89.0000-90.0000 sec   854 KBytes  7.00 Mbits/sec   0.055 ms 0/595 (0%)
[  3] 89.0000-90.0000 sec   610 KBytes  5.00 Mbits/sec   0.303 ms 0/425 (0%)
[  4] 89.0000-90.0000 sec   610 KBytes  5.00 Mbits/sec   0.166 ms 0/425 (0%)
[  4] 90.0000-91.0000 sec   610 KBytes  5.00 Mbits/sec   0.255 ms 0/425 (0%)
[  1] 90.0000-91.0000 sec   732 KBytes  6.00 Mbits/sec   0.177 ms 0/510 (0%)
[  2] 90.0000-91.0000 sec   854 KBytes  7.00 Mbits/sec   0.069 ms 0/595 (0%)
[  3] 90.0000-91.0000 sec   610 KBytes  5.00 Mbits/sec   0.384 ms 0/425 (0%)
[  4] 91.0000-92.0000 sec   612 KBytes  5.01 Mbits/sec   0.148 ms 0/426 (0%)
[  1] 91.0000-92.0000 sec   734 KBytes  6.01 Mbits/sec   0.100 ms 0/511 (0%)
[  2] 91.0000-92.0000 sec   854 KBytes  7.00 Mbits/sec   0.128 ms 0/595 (0%)
[  3] 91.0000-92.0000 sec   610 KBytes  5.00 Mbits/sec   0.339 ms 0/425 (0%)
[  4] 92.0000-93.0000 sec   610 KBytes  5.00 Mbits/sec   0.230 ms 0/425 (0%)
[  1] 92.0000-93.0000 sec   732 KBytes  6.00 Mbits/sec   0.237 ms 0/510 (0%)
[  2] 92.0000-93.0000 sec   856 KBytes  7.01 Mbits/sec   0.095 ms 0/596 (0%)
[  3] 92.0000-93.0000 sec   610 KBytes  5.00 Mbits/sec   0.348 ms 0/425 (0%)
[  1] 93.0000-94.0000 sec   732 KBytes  6.00 Mbits/sec   0.122 ms 0/510 (0%)
[  2] 93.0000-94.0000 sec   854 KBytes  7.00 Mbits/sec   0.103 ms 0/595 (0%)
[  3] 93.0000-94.0000 sec   610 KBytes  5.00 Mbits/sec   0.333 ms 0/425 (0%)
[  4] 93.0000-94.0000 sec   610 KBytes  5.00 Mbits/sec   0.156 ms 0/425 (0%)
[  1] 94.0000-95.0000 sec   732 KBytes  6.00 Mbits/sec   0.125 ms 0/510 (0%)
[  4] 94.0000-95.0000 sec   610 KBytes  5.00 Mbits/sec   0.182 ms 0/425 (0%)
[  2] 94.0000-95.0000 sec   854 KBytes  7.00 Mbits/sec   0.079 ms 0/595 (0%)
[  3] 94.0000-95.0000 sec   612 KBytes  5.01 Mbits/sec   0.296 ms 0/426 (0%)
[  4] 95.0000-96.0000 sec   610 KBytes  5.00 Mbits/sec   0.158 ms 0/425 (0%)
[  1] 95.0000-96.0000 sec   732 KBytes  6.00 Mbits/sec   0.213 ms 0/510 (0%)
[  2] 95.0000-96.0000 sec   854 KBytes  7.00 Mbits/sec   0.095 ms 0/595 (0%)
[  3] 95.0000-96.0000 sec   610 KBytes  5.00 Mbits/sec   0.314 ms 0/425 (0%)
[  4] 96.0000-97.0000 sec   612 KBytes  5.01 Mbits/sec   0.202 ms 0/426 (0%)
[  1] 96.0000-97.0000 sec   732 KBytes  6.00 Mbits/sec   0.085 ms 0/510 (0%)
[  2] 96.0000-97.0000 sec   856 KBytes  7.01 Mbits/sec   0.088 ms 0/596 (0%)
[  3] 96.0000-97.0000 sec   610 KBytes  5.00 Mbits/sec   0.308 ms 0/425 (0%)
[  1] 97.0000-98.0000 sec   734 KBytes  6.01 Mbits/sec   0.178 ms 0/511 (0%)
[  2] 97.0000-98.0000 sec   854 KBytes  7.00 Mbits/sec   0.130 ms 0/595 (0%)
[  3] 97.0000-98.0000 sec   610 KBytes  5.00 Mbits/sec   0.385 ms 0/425 (0%)
[  4] 97.0000-98.0000 sec   610 KBytes  5.00 Mbits/sec   0.154 ms 0/425 (0%)
[  1] 98.0000-99.0000 sec   732 KBytes  6.00 Mbits/sec   0.184 ms 0/510 (0%)
[  2] 98.0000-99.0000 sec   854 KBytes  7.00 Mbits/sec   0.083 ms 0/595 (0%)
[  3] 98.0000-99.0000 sec   610 KBytes  5.00 Mbits/sec   0.364 ms 0/425 (0%)
[  4] 98.0000-99.0000 sec   610 KBytes  5.00 Mbits/sec   0.166 ms 0/425 (0%)
[  4] 99.0000-100.0000 sec   610 KBytes  5.00 Mbits/sec   0.139 ms 0/425 (0%)
[  1] 99.0000-100.0000 sec   732 KBytes  6.00 Mbits/sec   0.113 ms 0/510 (0%)
[  2] 99.0000-100.0000 sec   854 KBytes  7.00 Mbits/sec   0.064 ms 0/595 (0%)
[  3] 99.0000-100.0000 sec   610 KBytes  5.00 Mbits/sec   0.370 ms 0/425 (0%)
[  4] 100.0000-101.0000 sec   610 KBytes  5.00 Mbits/sec   0.201 ms 0/425 (0%)
[  1] 100.0000-101.0000 sec   734 KBytes  6.01 Mbits/sec   0.159 ms 0/511 (0%)
[  2] 100.0000-101.0000 sec   856 KBytes  7.01 Mbits/sec   0.103 ms 0/596 (0%)
[  3] 100.0000-101.0000 sec   612 KBytes  5.01 Mbits/sec   0.306 ms 0/426 (0%)
[  4] 101.0000-102.0000 sec   610 KBytes  5.00 Mbits/sec   0.140 ms 0/425 (0%)
[  1] 101.0000-102.0000 sec   732 KBytes  6.00 Mbits/sec   0.138 ms 0/510 (0%)
[  2] 101.0000-102.0000 sec   854 KBytes  7.00 Mbits/sec   0.220 ms 0/595 (0%)
[  3] 101.0000-102.0000 sec   610 KBytes  5.00 Mbits/sec   0.363 ms 0/425 (0%)
[  1] 102.0000-103.0000 sec   732 KBytes  6.00 Mbits/sec   0.138 ms 0/510 (0%)
[  2] 102.0000-103.0000 sec   854 KBytes  7.00 Mbits/sec   0.106 ms 0/595 (0%)
[  3] 102.0000-103.0000 sec   610 KBytes  5.00 Mbits/sec   0.290 ms 0/425 (0%)
[  4] 102.0000-103.0000 sec   612 KBytes  5.01 Mbits/sec   0.164 ms 0/426 (0%)
[  4] 103.0000-104.0000 sec   610 KBytes  5.00 Mbits/sec   0.141 ms 0/425 (0%)
[  1] 103.0000-104.0000 sec   732 KBytes  6.00 Mbits/sec   0.147 ms 0/510 (0%)
[  2] 103.0000-104.0000 sec   854 KBytes  7.00 Mbits/sec   0.050 ms 0/595 (0%)
[  3] 103.0000-104.0000 sec   610 KBytes  5.00 Mbits/sec   0.288 ms 0/425 (0%)
[  4] 104.0000-105.0000 sec   610 KBytes  5.00 Mbits/sec   0.139 ms 0/425 (0%)
[  1] 104.0000-105.0000 sec   732 KBytes  6.00 Mbits/sec   0.095 ms 0/510 (0%)
[  2] 104.0000-105.0000 sec   856 KBytes  7.01 Mbits/sec   0.118 ms 0/596 (0%)
[  3] 104.0000-105.0000 sec   610 KBytes  5.00 Mbits/sec   0.280 ms 0/425 (0%)
[  4] 105.0000-106.0000 sec   610 KBytes  5.00 Mbits/sec   0.122 ms 0/425 (0%)
[  1] 105.0000-106.0000 sec   734 KBytes  6.01 Mbits/sec   0.150 ms 0/511 (0%)
[  2] 105.0000-106.0000 sec   854 KBytes  7.00 Mbits/sec   0.149 ms 0/595 (0%)
[  3] 105.0000-106.0000 sec   612 KBytes  5.01 Mbits/sec   0.337 ms 0/426 (0%)
[  1] 106.0000-107.0000 sec   732 KBytes  6.00 Mbits/sec   0.108 ms 0/510 (0%)
[  2] 106.0000-107.0000 sec   854 KBytes  7.00 Mbits/sec   0.168 ms 0/595 (0%)
[  3] 106.0000-107.0000 sec   610 KBytes  5.00 Mbits/sec   0.298 ms 0/425 (0%)
[  4] 106.0000-107.0000 sec   610 KBytes  5.00 Mbits/sec   0.189 ms 0/425 (0%)
[  4] 107.0000-108.0000 sec   610 KBytes  5.00 Mbits/sec   0.143 ms 0/425 (0%)
[  1] 107.0000-108.0000 sec   732 KBytes  6.00 Mbits/sec   0.121 ms 0/510 (0%)
[  2] 107.0000-108.0000 sec   854 KBytes  7.00 Mbits/sec   0.074 ms 0/595 (0%)
[  3] 107.0000-108.0000 sec   610 KBytes  5.00 Mbits/sec   0.270 ms 0/425 (0%)
[  4] 108.0000-109.0000 sec   610 KBytes  5.00 Mbits/sec   0.214 ms 0/425 (0%)
[  1] 108.0000-109.0000 sec   732 KBytes  6.00 Mbits/sec   0.195 ms 0/510 (0%)
[  2] 108.0000-109.0000 sec   856 KBytes  7.01 Mbits/sec   0.135 ms 0/596 (0%)
[  3] 108.0000-109.0000 sec   610 KBytes  5.00 Mbits/sec   0.301 ms 0/425 (0%)
[  4] 109.0000-110.0000 sec   612 KBytes  5.01 Mbits/sec   0.146 ms 0/426 (0%)
[  1] 109.0000-110.0000 sec   732 KBytes  6.00 Mbits/sec   0.135 ms 0/510 (0%)
[  2] 109.0000-110.0000 sec   854 KBytes  7.00 Mbits/sec   0.092 ms 0/595 (0%)
[  3] 109.0000-110.0000 sec   610 KBytes  5.00 Mbits/sec   0.304 ms 0/425 (0%)
[  1] 110.0000-111.0000 sec   734 KBytes  6.01 Mbits/sec   0.166 ms 0/511 (0%)
[  2] 110.0000-111.0000 sec   854 KBytes  7.00 Mbits/sec   0.140 ms 0/595 (0%)
[  3] 110.0000-111.0000 sec   610 KBytes  5.00 Mbits/sec   0.275 ms 0/425 (0%)
[  4] 110.0000-111.0000 sec   610 KBytes  5.00 Mbits/sec   0.179 ms 0/425 (0%)
[  4] 111.0000-112.0000 sec   610 KBytes  5.00 Mbits/sec   0.157 ms 0/425 (0%)
[  1] 111.0000-112.0000 sec   732 KBytes  6.00 Mbits/sec   0.188 ms 0/510 (0%)
[  2] 111.0000-112.0000 sec   854 KBytes  7.00 Mbits/sec   0.088 ms 0/595 (0%)
[  3] 111.0000-112.0000 sec   610 KBytes  5.00 Mbits/sec   0.285 ms 0/425 (0%)
[  4] 112.0000-113.0000 sec   610 KBytes  5.00 Mbits/sec   0.165 ms 0/425 (0%)
[  1] 112.0000-113.0000 sec   732 KBytes  6.00 Mbits/sec   0.114 ms 0/510 (0%)
[  2] 112.0000-113.0000 sec   854 KBytes  7.00 Mbits/sec   0.071 ms 0/595 (0%)
[  3] 112.0000-113.0000 sec   610 KBytes  5.00 Mbits/sec   0.267 ms 0/425 (0%)
[  4] 113.0000-114.0000 sec   610 KBytes  5.00 Mbits/sec   0.222 ms 0/425 (0%)
[  1] 113.0000-114.0000 sec   732 KBytes  6.00 Mbits/sec   0.165 ms 0/510 (0%)
[  2] 113.0000-114.0000 sec   856 KBytes  7.01 Mbits/sec   0.104 ms 0/596 (0%)
[  3] 113.0000-114.0000 sec   612 KBytes  5.01 Mbits/sec   0.283 ms 0/426 (0%)
[  1] 114.0000-115.0000 sec   732 KBytes  6.00 Mbits/sec   0.129 ms 0/510 (0%)
[  2] 114.0000-115.0000 sec   854 KBytes  7.00 Mbits/sec   0.159 ms 0/595 (0%)
[  3] 114.0000-115.0000 sec   610 KBytes  5.00 Mbits/sec   0.318 ms 0/425 (0%)
[  4] 114.0000-115.0000 sec   612 KBytes  5.01 Mbits/sec   0.222 ms 0/426 (0%)
[  1] 115.0000-116.0000 sec   732 KBytes  6.00 Mbits/sec   0.139 ms 0/510 (0%)
[  2] 115.0000-116.0000 sec   854 KBytes  7.00 Mbits/sec   0.104 ms 0/595 (0%)
[  3] 115.0000-116.0000 sec   610 KBytes  5.00 Mbits/sec   0.310 ms 0/425 (0%)
[  4] 115.0000-116.0000 sec   610 KBytes  5.00 Mbits/sec   0.191 ms 0/425 (0%)
[  4] 116.0000-117.0000 sec   610 KBytes  5.00 Mbits/sec   0.186 ms 0/425 (0%)
[  1] 116.0000-117.0000 sec   732 KBytes  6.00 Mbits/sec   0.158 ms 0/510 (0%)
[  2] 116.0000-117.0000 sec   854 KBytes  7.00 Mbits/sec   0.078 ms 0/595 (0%)
[  3] 116.0000-117.0000 sec   610 KBytes  5.00 Mbits/sec   0.280 ms 0/425 (0%)
[  4] 117.0000-118.0000 sec   610 KBytes  5.00 Mbits/sec   0.210 ms 0/425 (0%)
[  1] 117.0000-118.0000 sec   734 KBytes  6.01 Mbits/sec   0.106 ms 0/511 (0%)
[  2] 117.0000-118.0000 sec   856 KBytes  7.01 Mbits/sec   0.124 ms 0/596 (0%)
[  3] 117.0000-118.0000 sec   612 KBytes  5.01 Mbits/sec   0.259 ms 0/426 (0%)
[  4] 118.0000-119.0000 sec   610 KBytes  5.00 Mbits/sec   0.225 ms 0/425 (0%)
[  1] 118.0000-119.0000 sec   732 KBytes  6.00 Mbits/sec   0.202 ms 0/510 (0%)
[  2] 118.0000-119.0000 sec   854 KBytes  7.00 Mbits/sec   0.164 ms 0/595 (0%)
[  3] 118.0000-119.0000 sec   610 KBytes  5.00 Mbits/sec   0.255 ms 0/425 (0%)
[  1] 119.0000-120.0000 sec   732 KBytes  6.00 Mbits/sec   0.132 ms 0/510 (0%)
[  2] 119.0000-120.0000 sec   854 KBytes  7.00 Mbits/sec   0.112 ms 0/595 (0%)
[  3] 119.0000-120.0000 sec   610 KBytes  5.00 Mbits/sec   0.287 ms 0/425 (0%)
[  4] 119.0000-120.0000 sec   610 KBytes  5.00 Mbits/sec   0.142 ms 0/425 (0%)
[  1] 0.0000-120.0028 sec  85.8 MBytes  6.00 Mbits/sec   0.165 ms 0/61228 (0%)
[  2] 0.0000-120.0006 sec  96.8 MBytes  6.76 Mbits/sec   0.105 ms 2416/71432 (3.4%)
[  4] 0.0000-120.0025 sec  71.5 MBytes  5.00 Mbits/sec   0.156 ms 1/51024 (0.002%)
[  3] 0.0000-120.0037 sec  71.5 MBytes  5.00 Mbits/sec   0.258 ms 0/51024 (0%)
