exec sudo mnexec -a 24189 iperf -s -u -p 8 -i 1
------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 60989
[  2] local 10.0.0.1 port 8 connected with 10.0.0.5 port 48225
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 43957
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 60239
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  2] 13.0000-14.0000 sec   610 KBytes  5.00 Mbits/sec   0.020 ms 0/425 (0%)
[  3] 13.0000-14.0000 sec   856 KBytes  7.01 Mbits/sec   0.203 ms 0/596 (0%)
[  4] 13.0000-14.0000 sec   610 KBytes  5.00 Mbits/sec   0.392 ms 0/425 (0%)
[  1] 14.0000-15.0000 sec   734 KBytes  6.01 Mbits/sec   0.288 ms 0/511 (0%)
[  3] 14.0000-15.0000 sec   854 KBytes  7.00 Mbits/sec   0.246 ms 0/595 (0%)
[  4] 14.0000-15.0000 sec   610 KBytes  5.00 Mbits/sec   0.388 ms 0/425 (0%)
[  2] 14.0000-15.0000 sec   610 KBytes  5.00 Mbits/sec   0.020 ms 0/425 (0%)
[  1] 15.0000-16.0000 sec   732 KBytes  6.00 Mbits/sec   0.287 ms 0/510 (0%)
[  3] 15.0000-16.0000 sec   854 KBytes  7.00 Mbits/sec   0.252 ms 0/595 (0%)
[  4] 15.0000-16.0000 sec   610 KBytes  5.00 Mbits/sec   0.435 ms 0/425 (0%)
[  2] 15.0000-16.0000 sec   610 KBytes  5.00 Mbits/sec   0.013 ms 0/425 (0%)
[  1] 16.0000-17.0000 sec   732 KBytes  6.00 Mbits/sec   0.394 ms 0/510 (0%)
[  3] 16.0000-17.0000 sec   854 KBytes  7.00 Mbits/sec   0.302 ms 0/595 (0%)
[  2] 16.0000-17.0000 sec   612 KBytes  5.01 Mbits/sec   0.020 ms 0/426 (0%)
[  4] 16.0000-17.0000 sec   610 KBytes  5.00 Mbits/sec   0.423 ms 0/425 (0%)
[  1] 17.0000-18.0000 sec   732 KBytes  6.00 Mbits/sec   0.314 ms 0/510 (0%)
[  3] 17.0000-18.0000 sec   854 KBytes  7.00 Mbits/sec   0.277 ms 0/595 (0%)
[  2] 17.0000-18.0000 sec   610 KBytes  5.00 Mbits/sec   0.010 ms 0/425 (0%)
[  4] 17.0000-18.0000 sec   612 KBytes  5.01 Mbits/sec   0.371 ms 0/426 (0%)
[  1] 18.0000-19.0000 sec   732 KBytes  6.00 Mbits/sec   0.314 ms 0/510 (0%)
[  3] 18.0000-19.0000 sec   856 KBytes  7.01 Mbits/sec   0.202 ms 0/596 (0%)
[  4] 18.0000-19.0000 sec   610 KBytes  5.00 Mbits/sec   0.343 ms 0/425 (0%)
